r_id,r_hours_periods
6148592,"[ {'status': 'open', 'day': 2, 'startTime': '1830', 'endTime': '0300'}, {'status': 'open', 'day': 3, 'startTime': '1830', 'endTime': '0300'}, {'status': 'open', 'day': 4, 'startTime': '1830', 'endTime': '0300'}, {'status': 'open', 'day': 5, 'startTime': '1830', 'endTime': '0400'}, {'status': 'open', 'day': 6, 'startTime': '1830', 'endTime': '0400'}, {'status': 'open', 'day': 7, 'startTime': '1830', 'endTime': '0300'} ]"
6940579,"[ {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '0500'}, {'status': 'open', 'day': 2, 'startTime': '1130', 'endTime': '0500'}, {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '0500'}, {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '0500'}, {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '0500'}, {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '0500'}, {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '0500'} ]"
11832444,"[ {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 1, 'startTime': '1700', 'endTime': '2100'}, {'status': 'open', 'day': 2, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 2, 'startTime': '1700', 'endTime': '2100'}, {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 3, 'startTime': '1700', 'endTime': '2100'}, {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 4, 'startTime': '1700', 'endTime': '2100'}, {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 5, 'startTime': '1700', 'endTime': '2100'}, {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 6, 'startTime': '1700', 'endTime': '2100'}, {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '1400'}, {'status': 'open', 'day': 7, 'startTime': '1700', 'endTime': '2100'} ]"
8553697,"[
    {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '1500'},
    {'status': 'open', 'day': 1, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 2, 'startTime': '1130', 'endTime': '1500'},
    {'status': 'open', 'day': 2, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '1300'},
    {'status': 'open', 'day': 3, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '1500'},
    {'status': 'open', 'day': 4, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '1500'},
    {'status': 'open', 'day': 5, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '2200'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '2200'}
]
"
6134046,"[
    {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 1, 'startTime': '1700', 'endTime': '2100'},
    {'status': 'open', 'day': 2, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 2, 'startTime': '1700', 'endTime': '2100'},
    {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 3, 'startTime': '1700', 'endTime': '2100'},
    {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 4, 'startTime': '1700', 'endTime': '2100'},
    {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 5, 'startTime': '1700', 'endTime': '2100'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 6, 'startTime': '1700', 'endTime': '2100'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '1400'},
    {'status': 'open', 'day': 7, 'startTime': '1700', 'endTime': '2100'}
]
"
7952628,"[
    {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 1, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 2, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 2, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 3, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 4, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 5, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 6, 'startTime': '1730', 'endTime': '2200'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 7, 'startTime': '1730', 'endTime': '2200'}
]
"
9723231,"[
    {'status': 'open', 'day': 1, 'startTime': '1530', 'endTime': '0000'},
    {'status': 'open', 'day': 3, 'startTime': '1730', 'endTime': '0000'},
    {'status': 'open', 'day': 4, 'startTime': '1730', 'endTime': '0000'},
    {'status': 'open', 'day': 5, 'startTime': '1730', 'endTime': '0000'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '1500'},
    {'status': 'open', 'day': 6, 'startTime': '1730', 'endTime': '0000'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '1500'},
    {'status': 'open', 'day': 7, 'startTime': '1730', 'endTime': '0000'}
]
"
6045011,"[
    {'status': 'open', 'day': 1, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 1, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 2, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 2, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 3, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 3, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 4, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 4, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 5, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 5, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 6, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 6, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 7, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 7, 'startTime': '1430', 'endTime': '2230'}
]
"
12550583,"[
    {'status': 'open', 'day': 2, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 2, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 3, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 3, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 4, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 4, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 5, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 5, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 6, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 6, 'startTime': '1430', 'endTime': '2230'},
    {'status': 'open', 'day': 7, 'startTime': '1100', 'endTime': '1400'},
    {'status': 'open', 'day': 7, 'startTime': '1430', 'endTime': '2230'}
]
"
8798225,"[
    {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '1600'},
    {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '1600'},
    {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '1600'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '1600'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '1600'}
]
"
6149176,"[
    {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '0130'},
    {'status': 'open', 'day': 2, 'startTime': '1130', 'endTime': '0130'},
    {'status': 'open', 'day': 3, 'startTime': '1130', 'endTime': '0130'},
    {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '0130'},
    {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '0130'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '0130'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '0130'}
]
"
6142219,"[
    {'status': 'open', 'day': 1, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 1, 'startTime': '1730', 'endTime': '2130'},
    {'status': 'open', 'day': 4, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 4, 'startTime': '1730', 'endTime': '2130'},
    {'status': 'open', 'day': 5, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 5, 'startTime': '1730', 'endTime': '2130'},
    {'status': 'open', 'day': 6, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 6, 'startTime': '1730', 'endTime': '2130'},
    {'status': 'open', 'day': 7, 'startTime': '1130', 'endTime': '1430'},
    {'status': 'open', 'day': 7, 'startTime': '1730', 'endTime': '2130'}
]
"
6940538,"[
  {'status': 'open', 'day': 1, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 1, 'startTime': '1800', 'endTime': '0000'},
  {'status': 'open', 'day': 2, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 2, 'startTime': '1800', 'endTime': '0000'},
  {'status': 'open', 'day': 3, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 3, 'startTime': '1800', 'endTime': '0000'},
  {'status': 'open', 'day': 4, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 4, 'startTime': '1800', 'endTime': '0000'},
  {'status': 'open', 'day': 5, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 5, 'startTime': '1800', 'endTime': '0000'},
  {'status': 'open', 'day': 6, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 6, 'startTime': '1800', 'endTime': '0000'},
  {'status': 'open', 'day': 7, 'startTime': '1200', 'endTime': '1500'},
  {'status': 'open', 'day': 7, 'startTime': '1800', 'endTime': '0000'}
]"
6137629,"[
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1600"", ""endTime"": ""0000""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1600"", ""endTime"": ""0000""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1600"", ""endTime"": ""0000""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1600"", ""endTime"": ""0000""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1600"", ""endTime"": ""0000""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1600"", ""endTime"": ""0000""}
]
"
17596301,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1200"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1200"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1200"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1200"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1200"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1200"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1200"", ""endTime"": ""2100""}
]
"
6134050,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1100"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1100"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": ""7"", ""startTime"": ""1700"", ""endTime"": ""2100""}
]
"
10635975,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""2130""}
]
"
6139934,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1730"", ""endTime"": ""2100""}
]
"
7288606,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1730"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""0630"", ""endTime"": ""1030""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1730"", ""endTime"": ""2100""}
]
"
12250605,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1100"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1100"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1100"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1100"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1100"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1030"", ""endTime"": ""2200""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1030"", ""endTime"": ""2200""}
]
"
17288243,"[
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1200"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1200"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1200"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1200"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1700"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1700"", ""endTime"": ""2100""}
]
"
8647934,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1100"", ""endTime"": ""2230""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1100"", ""endTime"": ""2230""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1100"", ""endTime"": ""2230""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1100"", ""endTime"": ""2230""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1100"", ""endTime"": ""2230""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1100"", ""endTime"": ""2300""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1100"", ""endTime"": ""2300""}
]
"
6867469,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""1430""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1730"", ""endTime"": ""2130""}
]
"
1870189,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1100"", ""endTime"": ""1200""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1100"", ""endTime"": ""1200""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1100"", ""endTime"": ""1200""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1100"", ""endTime"": ""1200""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1100"", ""endTime"": ""1200""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1100"", ""endTime"": ""1200""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1100"", ""endTime"": ""1200""}
]
"
8810480,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1150"", ""endTime"": ""2100""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1115"", ""endTime"": ""2100""}
]
"
7966369,"[
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 1, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 2, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 3, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 4, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 5, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 6, ""startTime"": ""1730"", ""endTime"": ""2130""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1130"", ""endTime"": ""1400""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1430"", ""endTime"": ""1630""},
  {""status"": ""open"", ""day"": 7, ""startTime"": ""1730"", ""endTime"": ""2100""}
]
"
